Content,Type,Book,Author,Page,Location,Date
“Quean locked in Kains. Jew yawning in knot. Knell karagoz! Jainists underlie below inferno.” ——（译文）轻佻女孩包围在该隐之辈中，犹太人在难题中遭嘲笑。凶钟唤醒人偶（karagoz，土耳其傀儡人偶），与耆那（与佛教有许多共通点的姊妹宗教）教徒共同躺在地狱底层。（以上系根据判读文字意译）,Highlight,《黑死馆杀人事件》【深刻影响“经营之神”松下幸之助的奇书。詹慕如经典译本】,小栗虫太郎,286,您在第 286 页（位置 #3763-3766）的标注,2022-07-06 14:03:30
PATER! HOMO SUM!,Highlight,《黑死馆杀人事件》【深刻影响“经营之神”松下幸之助的奇书。詹慕如经典译本】,小栗虫太郎,362,您在第 362 页（位置 #4808-4808）的标注,2022-07-06 14:45:24
Only from these figures do they think they have learned anything about him.,Highlight,世界经典文学名著系列:小王子The Little Prince(全英文版),安东尼·德·圣埃克苏佩里,151,您在位置 #151-151的标注,2020-06-18 20:58:32
They are like that. One must not hold it against them. Children should always show great forbearance toward grown-up people.,Highlight,世界经典文学名著系列:小王子The Little Prince(全英文版),安东尼·德·圣埃克苏佩里,159,您在位置 #158-159的标注,2020-06-20 22:46:27
"To those who understand life, that would have given a much greater air of truth to my story.",Highlight,世界经典文学名著系列:小王子The Little Prince(全英文版),安东尼·德·圣埃克苏佩里,163,您在位置 #162-163的标注,2020-06-20 22:48:48
"Not every one has had a friend. And if I forget him, I may become like the grown-ups who are no longer interested in anything but figures ...",Highlight,世界经典文学名著系列:小王子The Little Prince(全英文版),安东尼·德·圣埃克苏佩里,167,您在位置 #166-167的标注,2020-06-20 23:02:09
"forget a friend is sad. Not every one has had a friend. And if I forget him, I may become like the grown-ups who are no longer interested in anything but figures ...",Highlight,世界经典文学名著系列:小王子The Little Prince(全英文版),安东尼·德·圣埃克苏佩里,167,您在位置 #165-167的标注,2020-06-20 23:02:13
"To forget a friend is sad. Not every one has had a friend. And if I forget him, I may become like the grown-ups who are no longer interested in anything but figures ...",Highlight,世界经典文学名著系列:小王子The Little Prince(全英文版),安东尼·德·圣埃克苏佩里,167,您在位置 #165-167的标注,2020-06-20 23:02:17
"if you tame me, then we shall need each other. To me, you will be unique in all the world. To you, I shall be unique in all the world ...""",Highlight,世界经典文学名著系列:小王子The Little Prince(全英文版),安东尼·德·圣埃克苏佩里,640,您在位置 #639-640的标注,2020-07-01 10:00:19
"because it is she that I have watered; because it is she that I have put under the glass globe; because it is she that I have sheltered behind the screen; because it is for her that I have killed the caterpillars (except the two or three that we saved to become butterflies); because it is she that I have listened to, when she grumbled, or boasted, or even sometimes when she said nothing.",Highlight,世界经典文学名著系列:小王子The Little Prince(全英文版),安东尼·德·圣埃克苏佩里,680,您在位置 #677-680的标注,2020-07-01 10:09:34
"""You are beautiful, but you are empty,"" he went on. ""One could not die for you. To be sure, an ordinary passerby would think that my rose looked just like you — the rose that belongs to me. But in herself alone she is more important than all the hundreds of you other roses: because it is she that I have watered; because it is she that I have put under the glass globe; because it is she that I have sheltered behind the screen; because it is for her that I have killed the caterpillars (except the two or three that we saved to become butterflies); because it is she that I have listened to, when she grumbled, or boasted, or even sometimes when she said nothing. Because she is my rose.",Highlight,世界经典文学名著系列:小王子The Little Prince(全英文版),安东尼·德·圣埃克苏佩里,680,您在位置 #675-680的标注,2020-07-01 10:15:20
"It is only with the heart that one can see rightly; what is essential is invisible to the eye.""",Highlight,世界经典文学名著系列:小王子The Little Prince(全英文版),安东尼·德·圣埃克苏佩里,682,您在位置 #681-682的标注,2020-07-01 10:09:09
只要让人知道，他现在有多么接近目标，他的动机就更强。,Highlight,为什么精英都是动机控(100项职场动机实验，让世界听你的！),【日】池田贵将；郭勇译,197,您在位置 #196-197的标注,2021-06-14 12:11:31
先让心情愉悦起来，再去工作的话，工作效率就会更高，出错率也会下降。,Highlight,为什么精英都是动机控(100项职场动机实验，让世界听你的！),【日】池田贵将；郭勇译,222,您在位置 #221-222的标注,2021-06-14 12:12:51
对于主动性的行为，如果给予奖励的话，反倒会挫伤人的内在动机。,Highlight,为什么精英都是动机控(100项职场动机实验，让世界听你的！),【日】池田贵将；郭勇译,324,您在位置 #323-324的标注,2021-06-14 12:15:46
减少必要动作的数量，可以使人行动加快。增加必要动作的数量，则可使人行动变慢。,Highlight,为什么精英都是动机控(100项职场动机实验，让世界听你的！),【日】池田贵将；郭勇译,349,您在位置 #348-349的标注,2021-06-14 12:18:33
想做的事情，就减少动作的数量；,Highlight,为什么精英都是动机控(100项职场动机实验，让世界听你的！),【日】池田贵将；郭勇译,364,您在位置 #363-364的标注,2021-06-14 12:19:04
想做的事情，则增加动作的数量。,Highlight,为什么精英都是动机控(100项职场动机实验，让世界听你的！),【日】池田贵将；郭勇译,364,您在位置 #364-364的标注,2021-06-14 12:19:09
不想做的事情，则增加动作的数量。,Highlight,为什么精英都是动机控(100项职场动机实验，让世界听你的！),【日】池田贵将；郭勇译,364,您在位置 #364-364的标注,2021-06-14 12:19:12
在背后议论别人，不管好的还是坏的，最终都会反弹到自己身上。,Highlight,为什么精英都是动机控(100项职场动机实验，让世界听你的！),【日】池田贵将；郭勇译,407,您在位置 #406-407的标注,2021-06-14 12:20:40
从自己的嘴里只流出溢美之词，和批评、诋毁保持距离。,Highlight,为什么精英都是动机控(100项职场动机实验，让世界听你的！),【日】池田贵将；郭勇译,422,您在位置 #422-422的标注,2021-06-14 12:24:52
自己与自己比较，人更容易付出努力。和别人比较则难以产生持久的动机。,Highlight,为什么精英都是动机控(100项职场动机实验，让世界听你的！),【日】池田贵将；郭勇译,436,您在位置 #435-436的标注,2021-06-14 12:25:11
因为我们宁愿不“得到新东西”，也不想“失去现有的东西”。基本上说，我们在生活中更倾向于追求稳定，也就是维持现状。,Highlight,为什么精英都是动机控(100项职场动机实验，让世界听你的！),【日】池田贵将；郭勇译,503,您在位置 #502-503的标注,2021-06-14 12:26:25
想让别人做某件事情的时候，尊重对方的自主性，更容易获得期待的结果。,Highlight,为什么精英都是动机控(100项职场动机实验，让世界听你的！),【日】池田贵将；郭勇译,525,您在位置 #524-525的标注,2021-06-14 12:26:45
“专注性工作”就在大脑专注度高的时间段里完成。“非专注性工作”应该放在大脑专注力下降的时间段里做。,Highlight,为什么精英都是时间控（世界名企谷歌、脸书等都在实践的时间管理术！教你将大脑发挥极致，让工作加速的思考模式！ ） (博集经管商务必读系列),桦泽紫苑,353,您在位置 #352-353的标注,2021-10-27 11:08:21
在专注力高的时间段，做需要高度专注力的工作”。,Highlight,为什么精英都是时间控（世界名企谷歌、脸书等都在实践的时间管理术！教你将大脑发挥极致，让工作加速的思考模式！ ） (博集经管商务必读系列),桦泽紫苑,378,您在位置 #377-378的标注,2021-10-27 11:09:14
人高度专注的状态一般只能持续15分钟，不会超过20分钟。也就是说，15分钟可以看作专注力的一个单位时间。,Highlight,为什么精英都是时间控（世界名企谷歌、脸书等都在实践的时间管理术！教你将大脑发挥极致，让工作加速的思考模式！ ） (博集经管商务必读系列),桦泽紫苑,718,您在位置 #717-718的标注,2021-10-27 11:19:48
人脑比较清醒的90分钟和产生倦意的20分钟会交替来到，形成一个循环。,Highlight,为什么精英都是时间控（世界名企谷歌、脸书等都在实践的时间管理术！教你将大脑发挥极致，让工作加速的思考模式！ ） (博集经管商务必读系列),桦泽紫苑,757,您在位置 #756-757的标注,2021-10-27 11:20:51
当目标没有实现时，人对未完成的课题记忆比较深刻。但目标实现后，人对已经完成的课题，记忆就没那么深刻了。”人们将这种现象称为“蔡戈尼克效应”。,Highlight,为什么精英都是时间控（世界名企谷歌、脸书等都在实践的时间管理术！教你将大脑发挥极致，让工作加速的思考模式！ ） (博集经管商务必读系列),桦泽紫苑,896,您在位置 #894-896的标注,2021-11-21 21:11:51
头脑中产生杂念就把它写出来，写出来后就忘了。,Highlight,为什么精英都是时间控（世界名企谷歌、脸书等都在实践的时间管理术！教你将大脑发挥极致，让工作加速的思考模式！ ） (博集经管商务必读系列),桦泽紫苑,917,您在位置 #916-917的标注,2021-11-22 12:45:14
为工作设定时间限制，仅仅是严格遵守这个时间限制就可以让我们的注意力高度集中，提高工作效率。,Highlight,为什么精英都是时间控（世界名企谷歌、脸书等都在实践的时间管理术！教你将大脑发挥极致，让工作加速的思考模式！ ） (博集经管商务必读系列),桦泽紫苑,1087,您在位置 #1086-1087的标注,2021-11-22 21:34:40
严守时间限制，本身就是一种高效率的工作方法。 严守时间限制的工作方法，说白了就一条，就是在任何情况下都不能推迟设定好的时间限制。,Highlight,为什么精英都是时间控（世界名企谷歌、脸书等都在实践的时间管理术！教你将大脑发挥极致，让工作加速的思考模式！ ） (博集经管商务必读系列),桦泽紫苑,1089,您在位置 #1087-1089的标注,2021-11-22 21:34:48
为了让黄金时间维持更长的时间，早晨我不接收多余的信息，姑且先关闭自己的所有“接收天线”，与外界隔绝，专心工作。,Highlight,为什么精英都是时间控（世界名企谷歌、脸书等都在实践的时间管理术！教你将大脑发挥极致，让工作加速的思考模式！ ） (博集经管商务必读系列),桦泽紫苑,1372,您在位置 #1370-1372的标注,2022-01-05 19:26:54
仅仅30分钟的午睡，就可以让我的大脑和身体得到充分的恢复。,Highlight,为什么精英都是时间控（世界名企谷歌、脸书等都在实践的时间管理术！教你将大脑发挥极致，让工作加速的思考模式！ ） (博集经管商务必读系列),桦泽紫苑,1519,您在位置 #1519-1519的标注,2022-03-13 17:16:00
睡前2个小时千万不能做的事情有吃东西、饮酒、剧烈运动、洗澡水水温过高、视觉系娱乐（玩电子游戏、看电影等）、看闪亮的东西（看手机、看电脑、看电视等）、待在灯光过于明亮的场所（特别是使用荧光灯的便利店、公司办公室等）。,Highlight,为什么精英都是时间控（世界名企谷歌、脸书等都在实践的时间管理术！教你将大脑发挥极致，让工作加速的思考模式！ ） (博集经管商务必读系列),桦泽紫苑,1992,您在位置 #1989-1992的标注,2022-04-16 15:33:57
反过来，睡前2个小时适宜享受放松。比如，听音乐、闻香薰灯、非视觉系娱乐、和家人聊天、爱抚宠物、使身体放松的轻微运动、温水浴、读书等。,Highlight,为什么精英都是时间控（世界名企谷歌、脸书等都在实践的时间管理术！教你将大脑发挥极致，让工作加速的思考模式！ ） (博集经管商务必读系列),桦泽紫苑,1994,您在位置 #1992-1994的标注,2022-04-16 15:34:03
自觉的个性的消失，以及感情和思想转向一个不同的方向，是就要变成组织化群体的人所表现出的首要特征，但这不一定总是需要一些个人同时出现在一个地点。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,945,Your Highlight at location 943-945,2019-09-09 09:40:00
无意识现象不但在有机体的生活中，而且在智力活动中，都发挥着一种完全压倒性的作用。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,978,Your Highlight at location 977-978,2019-09-09 09:36:55
在集体心理中，个人的才智被削弱了，从而他们的个性也被削弱了。异质性被同质性所吞没，无意识的品质占了上风。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,990,Your Highlight at location 989-990,2019-09-09 09:37:33
群体是个无名氏，因此也不必承担责任。这样一来，总是约束着个人的责任感便彻底消失了。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,1000,Your Highlight at location 999-1000,2019-09-09 09:37:54
有意识人格的消失，无意识人格的得势，思想和感情因暗示和相互传染作用而转向一个共同的方向，以及立刻把暗示的观念转化为行动的倾向，是组成群体的个人所表现出来的主要特点。他不再是他自己，他变成了一个不再受自己意志支配的玩偶。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,1020,Your Highlight at location 1018-1020,2019-09-09 09:41:02
群体在智力上总是低于孤立的个人，但是从感情及其激起的行动这个角度看，群体可以比个人表现得更好或更差，这全看环境如何。一切取决于群体所接受的暗示具有什么性质。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,1035,Your Highlight at location 1033-1035,2019-09-09 09:42:00
孤立的个人具有主宰自己的反应行为的能力，群体则缺乏这种能力。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,1059,Your Highlight at location 1058-1059,2019-09-09 10:26:05
群体可以转瞬之间就从最血腥的狂热变成最极端的宽宏大量和英雄主义。群体,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,1062,Your Highlight at location 1061-1062,2019-09-09 10:26:28
很容易做出刽子手的举动，同样也很容易慷慨赴义。正是群体，为每一种信仰的胜利而不惜血流成河。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,1063,Your Highlight at location 1062-1063,2019-09-09 10:26:36
在群体中间，傻瓜、低能儿和心怀妒忌的人，摆脱了自己卑微无能的感觉，会感觉到一种残忍、短暂但又巨大的力量。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,1196,Your Highlight at location 1195-1196,2019-09-09 10:41:26
群体因为夸大自己的感情，因此它只会被极端感情所打动。希望感动群体的演说家，必须出言不逊，信誓旦旦。夸大其辞、言之凿凿、不断重复，绝对不以说理的方式证明任何事情——这些都是公众集会上的演说家惯用的论说技巧。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,1203,Your Highlight at location 1200-1203,2019-09-09 10:41:52
随着时机不同，群体会处在它的理解力所及的不同观念之一的影响之下，因此能够干出大相径庭的事情。群体完全缺乏批判精神，因此也察觉不到这些矛盾。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,1302,Your Highlight at location 1300-1302,2019-09-09 10:52:25
群体推理的特点，是把彼此不同、只在表面上相似的事物搅在一起，并且立刻把具体的事物普遍化。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,1340,Your Highlight at location 1340-1340,2019-09-09 10:53:41
影响民众想象力的，并不是事实本身，而是它们发生和引起注意的方式。如果让我表明看法的话，我会说，必须对它们进行浓缩加工，它们才会形成一种令人瞠目结舌的惊人形象。掌握了影响群众想象力的艺术，也就掌握了统治他们的艺术。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,1392,Your Highlight at location 1389-1392,2019-09-09 10:55:53
它也有着巨大的作用。一些重大的要素，譬如种族，也取决于它，没有它便无法形成。它引起一切信仰的诞生、成长和死亡。它们获得力量靠的是时间，失去力量也是因为时间。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,1551,Your Highlight at location 1550-1551,2019-09-09 11:01:15
从来不考虑是否严谨对称，更多地是考虑它的方便实用；从来不单纯以不一致为由去消除不一致；除非感到有所不满，绝对不加以变革；除非能够消除这种不满，绝对不进行革新；除了针对具体情况必须提供的条款之外，绝对不制定任何范围更大的条款——,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,1584,Your Highlight at location 1582-1584,2019-09-09 11:05:12
把一种语法或一篇纲要牢记在心，重复得好，模仿也出色——这实在是一种十分可笑的教育方式，它的每项工作都是一种信仰行为，即默认教师不可能犯错误。这种教育的唯一结果，就是贬低自我，让我们变得无能。”,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,1622,Your Highlight at location 1620-1622,2019-09-09 11:07:58
因此，它只能把饭碗只给先来的，剩下的便全都成了它的敌人。从社会金字塔的最高层到最低层，从最卑贱的小秘书到教授和警察局长，有大量吹嘘文凭的人在围攻各种职位，商人想找到一个代他处理殖民地生意的人难上加难，成千上万的人却在谋求最平庸的官差。只在塞纳一地，就有两万名男女教师失业，他们全都蔑视农田或工场，只想从国家那儿讨生计。被选中的人数是有限的，因此肯定有大量心怀不满的人。他们随时会参与任何革命，不管它的头领是谁，也不管它有什么目标。可以说，掌握一些派不上用场的知识，是让人造反的不二法门。[8],Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,1638,Your Highlight at location 1632-1638,2019-09-09 11:09:55
必须废除我们那些可恶的教科书和可悲的考试，代之以勤劳的教育，它能够劝导我们的年轻人回到田野和工场，回到他们今天不惜任何代价逃避的殖民地事业。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,1640,Your Highlight at location 1639-1640,2019-09-09 11:10:04
共和国本质上是一种贵族统治的制度，是由一小撮团结一致的小暴君统治着一群绝对服从的奴隶构成的制度。这些建立在奴隶制上的集体贵族统治，没了这种奴隶制一天也不能存在。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,1744,Your Highlight at location 1742-1744,2019-09-09 11:14:42
一切文明的主要动力并不是理性，倒不如说，尽管存在着理性，文明的动力仍然是各种感情——譬如尊严、自我牺牲、宗教信仰、爱国主义以及对荣誉的爱。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,1853,Your Highlight at location 1851-1853,2019-09-09 11:24:57
社会主义信条就出现了这种现象，它正在被那些会成为它首批牺牲者的人所接受。传染的威力是如此巨大，在它的作用下，甚至个人利益的意识也会消失得无影无踪。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,1981,Your Highlight at location 1979-1981,2019-09-11 09:41:19
谁也不想证实这些判断，每个人最后都会重复他从学校里学到的东西，直到出现一些再没人敢于说三道四的称号和事物。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,2008,Your Highlight at location 2007-2008,2019-09-11 09:44:11
名望的特点就是阻止我们看到事物的本来面目，让我们的判断力彻底麻木。群众就像个人一样，总是需要对一切事情有现成的意见。这些意见的普遍性与它们是对是错全无关系，它们只受制于名望。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,2012,Your Highlight at location 2011-2012,2019-09-11 09:44:26
人类所知道的唯一真正的暴君，历来就是他们对死人的怀念或他们为自己编织出来的幻觉。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,2137,Your Highlight at location 2136-2137,2019-09-11 10:29:19
社会主义的幸福理想是要在现世得到落实，因而只要有人想努力实现这种理想，它的许诺的空洞无物立刻就会暴露无遗，从而使这种新信仰身败名裂。因此，它的力量的增长也只能到它获得胜利，开始实现自身的那天为止。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,2142,Your Highlight at location 2140-2142,2019-09-11 10:30:24
犯罪群体的一般特征与我们在所有群体中看到的特征并无不同：易受怂恿，轻信，易变，把良好或恶劣的感情加以夸大，表现出某种道德，等等。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,2397,Your Highlight at location 2396-2397,2019-09-16 14:02:47
在某些民族中，一切自由受到了越来越多的限制，尽管表面上的许可使它们产生一种幻觉，以为自己还拥有这些自由。它们的衰老在造成这种情况上所起的作用，至少和任何具体的制度一样大。这是直到今天任何文明都无法逃脱的衰落期的不祥先兆之一。,Highlight,乌合之众：大众心理研究,古斯塔夫.勒庞,2798,Your Highlight at location 2796-2798,2019-09-16 14:28:35
地板上升起，从破烂死灰的连壁地毯下升起。它从残破的厨房用具中，从这些日子里从未正常运转过的机器中一跃而出。它从客厅里当摆设的立式台灯里缓缓渗出，从布满死苍蝇的天花板上悄悄落下。它设法从他视野中的所有物件里冒了出来，就好像它——寂静——已经打定主意，要取代所有看得见摸得着的东西。它不但攻击他的耳朵，还进犯他的眼睛。他站在关掉的电视旁边，感觉到寂静不仅是看得见的，而且是活生生的。活生生的！他已经习惯了它直来直去的风格，呼啸而来，毫不掩饰，迫不及待。这个世界的寂静再也抑制不住贪婪，尤其是在它已经几乎赢得整个世界的时候。,Highlight,仿生人会梦见电子羊吗？ (菲利普•迪克作品集),菲利普•迪克,226,您在位置 #220-226的标注,2020-03-20 11:04:25
在这无孔不入、没心没肺、沛然霸道的死寂中，竟然对自己的死期有了小小的期待。,Highlight,仿生人会梦见电子羊吗？ (菲利普•迪克作品集),菲利普•迪克,232,您在位置 #231-232的标注,2020-03-20 11:05:14
移情能力模糊了捕食者和被猎者、成功者和失败者之间的界限。,Highlight,仿生人会梦见电子羊吗？ (菲利普•迪克作品集),菲利普•迪克,337,您在位置 #337-337的标注,2020-04-05 23:35:27
只要有某个生命经历了快乐，所有其他生命的体验就都会包含一丝快乐。但要是任何一个生命感受到痛苦，那其他生命也就挥不去那一片阴影。像人这样的群居动物，有了移情能力之后，生存率会显著提高。但对于猫头鹰和眼镜蛇，移情则意味着毁灭。,Highlight,仿生人会梦见电子羊吗？ (菲利普•迪克作品集),菲利普•迪克,341,您在位置 #339-341的标注,2020-04-05 23:35:40
